obs. c.elec    c.agua
1      0.16  3.756385
2      0.44  4.048329
3      0.63  4.255507
4      0.76  4.373823
5      1.04  4.506255
6      1.19  5.264085
7      1.44  5.464962
8      1.63  4.286531
9      1.80  6.457674
10     1.99  6.079049
11     2.20  5.211950
12     2.43  5.181546
13     2.58  6.017945
14     2.83  7.818355
15     3.01  6.816635
16     3.23  6.544437
17     3.40  6.092030
18     3.60  7.536906
19     3.78  9.142075
20     3.97  8.578941
21     4.19  7.511073
22     4.43 10.608664
23     4.60  5.598690
24     4.82  7.815607
25     4.97  5.464190
26     5.17  9.655468
27     5.38  7.546971
28     5.63 12.894572
29     5.78 11.300008
30     5.98 13.616241
31     6.21  9.850495
32     6.42  6.440652
33     6.56  4.859431
34     6.82  9.769006
35     6.99 10.082501
36     7.19 11.745444
37     7.43 16.437777
38     7.62 17.676945
39     7.81 21.734911
40     8.02 15.492684
41     8.18 11.011651
42     8.44 14.919955
43     8.57 11.189384
44     8.80 12.173039
45     9.03 15.105626
46     9.24 13.409854
47     9.38 17.786246
48     9.63 16.033094
49     9.83 15.529923
50     9.96 15.851395
